MARCHE,CLT AGE,PROFESSION,CLT PUB/PRIV,NATIONALITE,RES,CLT CATEGORIE,PTF,TYPE PTF,SEGMENT,SOUS_SEG,CLT REV MENS NET,MMM,VOLUME DES REVENUS,CREDIT CONSO,CREDIT IMMO,ENC DEBIT,PD,TOT DES CREDITS,CLASSE DE RISQUE,PRIME_ASSURANCE
PART,49,Enseignants de l'enseignement secondaire,PUBLIC,TUNISIA,TUNISIA,7000,5699,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1041,1059.889,268.027,0,49138.731,-1825.295,0.03,47313.436,0,638.731386
PART,50,Cadres moyens dans les autres services,PRIVE,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1413,1974.842,0,0,19061.712,-128.287,0.03,18933.425,0,255.6012375
PART,49,Autres cadres sup√©rieurs,PUBLIC,TUNISIA,TUNISIA,7000,6149,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1964,2091.474,230.044,0,90922.447,-1717.346,0.03,89205.101,0,1204.268864
PART,35,Ouvriers dans autres secteurs,PRIVE,TUNISIA,TUNISIA,7000,4445,AUX,CLASSE MOYENNE,1 CM - SALARI…,700,883.557,0,0,18252.634,-401.92,0.03,17850.714,0,240.984639
PART,39,Employ√©s de bureau,PUBLIC,TUNISIA,TUNISIA,7000,4575,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1495,1430.428,0,0,65602.869,-2451.889,0.03,63150.98,0,852.53823
PART,33,Techniciens de laboratoire,PRIVE,TUNISIA,TUNISIA,7000,5686,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1125,2034.226,95.816,0,40728.128,0,0.03,40728.128,0,549.829728
PART,35,Employ√©s de bureau,PUBLIC,TUNISIA,TUNISIA,7000,4213,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,1172,1577.961,1907.415,1747.29,42810.767,-1778.926,0.03,42779.131,0,577.5182685
PRO,56,Dirigeants et g√©rants dans l'industrie,N_D,TUNISIA,TUNISIA,6000,4445,PRINCIPAL,CLASSE MOYENNE,3 CM - PRO,10000,103026.436,28681.6442,24604.784,165353.913,-73093.651,0.03,116865.046,0,1577.678121
PART,59,Enseignants de l'enseignement secondaire,PUBLIC,TUNISIA,TUNISIA,7000,5803,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2075,4871.415,22064.997,4102.001,11739.436,-207.612,0.03,15633.825,0,211.0566375
PART,36,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4206,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1678,41546.028,13.663,0,69320.531,-1585.815,0.03,67734.716,0,914.418666
PRO,50,Commer√ßants dans l'entretien et r√©paration,PRIVE,TUNISIA,TUNISIA,7000,5699,PRINCIPAL,GRAND PUBLIC,3 GP - PRO,13000,6251.615,9034.058,0,11613.828,0,0.03,11613.828,0,156.786678
PART,46,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,,2044.31,24657.868,0,50846.724,0,0.03,50846.724,0,686.430774
PART,64,Retrait√©s,N_D,TUNISIA,TUNISIA,7000,5604,AUX,GRAND PUBLIC,1 GP - ACTIFS,565,513.26,0,5328.257,2220.079,-525.112,0.03,7023.224,0,94.813524
PART,43,Techniciens en informatique et nouvelles technologies,PRIVE,TUNISIA,TUNISIA,7000,6149,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1629,824.175,404.402,1111.829,51468.224,0,0.03,52580.053,0,709.8307155
PART,42,Employ√©s de bureau,PRIVE,TUNISIA,TUNISIA,7000,4035,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2126,3509.505,56789.745,0,26556.219,0,0.03,26556.219,0,358.5089565
PART,53,Ouvriers dans autres secteurs,PRIVE,TUNISIA,TUNISIA,7000,6162,AUX,CLASSE MOYENNE,1 CM - SALARI…,818,1160.178,0,912.59,14772.519,-449.582,0.03,15235.527,0,205.6796145
PART,53,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,3893,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1921,7515.885,2579.303,1275.387,30292.006,-2517.116,0.03,29050.277,0,392.1787395
PART,57,Employ√©s de bureau,PUBLIC,TUNISIA,TUNISIA,7000,4595,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,1186,2816.468,1438.419,0,33641.409,-807.389,0.03,32834.02,0,443.25927
PART,39,Cadres moyens dans les autres services,PRIVE,TUNISIA,TUNISIA,7000,5604,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1676,1788.409,0,9384.354,15863.945,-25.163,0.03,25223.136,0,340.512336
PART,51,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,5760,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1120,2053.22,4911.868,0,26440.411,-2140.973,0.03,24299.438,0,328.042413
PART,49,Techniciens (autres),PRIVE,TUNISIA,TUNISIA,7000,6162,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1718,781.63,0,0,19185.846,-612.005,0.03,18573.841,0,250.7468535
PART,61,Cadres moyens dans les autres services,PUBLIC,TUNISIA,TUNISIA,7000,4213,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,1745,8111.555,0.152,0,59462.612,-2262.427,0.03,57200.185,0,772.2024975
PART,50,Dirigeants et g√©rants dans l'industrie,PRIVE,TUNISIA,TUNISIA,7000,3078,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,5000,7751.88,0,18107.252,67144.1,-5220.605,0.03,80030.747,0,1080.415085
PART,60,Enseignants de l'enseignement secondaire,PUBLIC,TUNISIA,TUNISIA,7000,5803,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1243,2275.733,4278.922,0,25256,0,0.03,25256,0,340.956
PART,55,Enseignants de l'enseignement secondaire,PUBLIC,TUNISIA,TUNISIA,7000,5803,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2032,2027.968,0,3463.171,56469.611,-929.582,0.03,59003.2,0,796.5432
